|scientific_name                  |common_name              |n  |
|Viburnum opulus                  |Almindelig kvalkved      |5  |
|Hippophaë rhamnoides             |Almindelig havtorn       |5  |
|Rhamnus frangula                 |Tørst                    |5  |
|Acer argutum                     |Japansk løn              |5  |
|Rhus potaninii                   |Kinesisk sumak           |5  |
|Euonymus sachaliensis            |Sakhalinbenved           |5  |
|Ribes uva-crispa                 |Stikkelsbær              |5  |
|Crataegus crus-galli var. inermis|Hanesporehvidtjørn       |5  |
|Chamaecyparis obtusa             |Solcypres                |5  |
|Pinus peuce                      |Silkefyr                 |4  |
|Juniperus communis               |Almindelig ene           |4  |
|Pinus bungeana                   |Bungefyr                 |4  |
|Prunus hybr.                     |Kirsebær                 |4  |
|Gymnocladus dioicus              |Stennød                  |4  |
|Zanthoxylum piperitum            |Japansk peber            |4  |
|Fagus sylvatica                  |Bregnebøg                |4  |
|Malus trilobata                  |                         |4  |
|Pinus wallichiana                |Tårefyr                  |4  |
|Pseudotsuga menziesii var. glauca|Blå douglasgran          |4  |
|Viburnum hybr. bodnantense       |Kejserbusk               |4  |
|Buddleja davidii                 |Sommerfuglebusk          |4  |
|Juniperus virginiana             |Blyant-ene               |4  |
|Acer cissifolia                  |                         |4  |
|Betula maximowicziana            |Ellebladet birk          |4  |
|Cornus contreversa               |Etagekornel              |3  |
|Aesculus glabra                  |Glat hestekastanje       |3  |
|Aronia melanocarpa               |Sortfrugtet surbær       |3  |
|Cunninghamia lanceolata          |Kinesisk ligkistetræ     |3  |
|Asimina triloba                  |Pawpaw                   |3  |
|Eucommia ulmoides                |Eucommia                 |3  |
|Phellodendron amurense           |Amur korktræ             |3  |
|Hamamelis hybr. intermedia       |Hybridtroldnød           |3  |
|Zanthoxylum americanum           |Tandpinetræ              |3  |
|Tetradium daniellii              |Honningtræ               |3  |
|Acer rufinerve                   |Rødnervet løn            |3  |
|Tsuga mertensiana                |Bjerg-hemlock            |3  |
|Pinus tabuliformis               |Måttefyr                 |3  |
|Sorbus domestica                 |Storfrugtet røn          |3  |
|Amelanchier lamarckii            |Almindelig bærmispel     |3  |
|Torreya nucifera                 |Japansk nøddetaks        |2  |
|Quercus ilex                     |Sten-eg                  |2  |
|Heptacodium miconioides          |Himlens syv sønner       |2  |
|Acer buergeranium                |Tretandet løn            |2  |
|Crataegus submollis              |                         |2  |
|Trochodendron araliodes          |Hjultræ                  |2  |
|Prunus hybr. amygdalo-persica    |Ferskenmandel            |2  |
|Pistacie chinensis               |Kinesisk pistacie        |2  |
|Cladrastis lutea                 |Almindelig kladrastis    |2  |
|Torreya californica              |Californisk nøddetaks    |2  |
|Pinus mugo                       |Dværgfyr                 |2  |
|Platanus orientalis              |Orientalsk platan        |2  |
|Picea glauca                     |Sukkertopgran            |2  |
|Sorbus incana                    |                         |2  |
|Euonymus alata                   |Vinget benved            |2  |
|Phillyrea vilmoriniana           |Stenved                  |2  |
|Pinus parviflora                 |Penselfyr                |2  |
|Cryptomeria japonica             |Japansk kryptomeria      |2  |
|Populus koreana                  |Vårpoppel                |2  |
|Prunus americana                 |Amerikansk blomme        |2  |
|Euonymus latifolius              |Storbladet benved        |2  |
|Magnolia hybr.                   |                         |2  |
|Calycanthus floridus             |Carolina-kanelbusk       |2  |
|Cotinus coggygria                |Parykbusk                |2  |
|Cephalotaxus harringtonia        |Japansk blommetaks       |2  |
|Kolkwitzia amabilis              |Dronningebusk            |2  |
|Pterocarya rhoifolia             |Rhusbladet vingevalnød   |2  |
|Picea orientalis                 |Orientalsk gran          |2  |
|Salix matsudana                  |Troldpil                 |2  |
|Quercus pubescens                |Dun-eg                   |2  |
|Pseudotsuga menziesii            |Douglasgran              |2  |
|Rhus glabra                      |Koralsumak               |2  |
|Malus ioensis                    |                         |2  |
|Robinia hybr. margaretta         |                         |2  |
|Catalpa hybr. erubescens         |Hybrid-trompetkrone      |1  |
