art;variant;sort;replacement;note;priority
Amelanchier lamarckii;NA;NA;Almindelig bærmispel;change danish name based on latin name;NA
Amelanchier sp.;NA;NA;Bærmispel;change danish name based on latin name;NA
Araucaria araucana;NA;NA;Abetræ;change danish name based on latin name;NA
Aronia melanocarpa;NA;NA;Surbær;change danish name based on latin name;NA
Aronia prunifolia;NA;NA;Surbær;change danish name based on latin name;NA
Asimina triloba;NA;NA;Indiansk banan (pawpaw);change danish name based on latin name;NA
Betula albosinensis;NA;NA;Rødbirk;change danish name based on latin name;NA
Betula ermanii;NA;NA;Kamchatka-birk;change danish name based on latin name;NA
Betula hybr.;NA;Hekla;Birk 'Hekla';change danish name based on latin name;NA
Betula maximowicziana;NA;NA;Ellebladet birk;change danish name based on latin name;NA
Betula nigra;NA;NA;Sortbirk;change danish name based on latin name;NA
Betula papyrifera;NA;NA;Papirbirk;change danish name based on latin name;NA
Betula pendula;NA;Dalecarlica;Fligbladet birk (pollenfri);change danish name based on latin name;NA
Betula pendula;NA;NA;Vortebirk;change danish name based on latin name;NA
Betula pendula;fk penla;NA;Vortebirk;change danish name based on latin name;NA
Betula pubescens;NA;NA;Dunbirk;change danish name based on latin name;NA
Betula sp.;NA;NA;Birk;change danish name based on latin name;NA
Betula utilis;NA;NA;Himalaya-birk;change danish name based on latin name;NA
Broussonetia papyrifera;NA;NA;Papirmorbær;change danish name based on latin name;NA
Buddleja davidii;NA;NA;Sommerfuglebusk;change danish name based on latin name;NA
Buxus sp.;NA;NA;Buxbom;change danish name based on latin name;NA
Calocedrus decurrens;NA;NA;Californisk flodceder;change danish name based on latin name;NA
Calycanthus floridus;NA;NA;Kanelbusk;change danish name based on latin name;NA
Carpinus betulus;NA;NA;Avnbøg;change danish name based on latin name;NA
Carpinus betulus;NA;Fastigiata;Pyramideavnbøg;change danish name based on latin name;NA
Carpinus betulus;NA;Frans Fontaine;Søjleavnbøg;change danish name based on latin name;NA
Carpinus sp.;NA;NA;Avnbøg;change danish name based on latin name;NA
Castanea sativa;NA;NA;Ægte kastanje;change danish name based on latin name;NA
Castanea sp.;NA;NA;Kastanje;change danish name based on latin name;NA
Catalpa bignonioides;NA;NA;Almindelig trompetkrone;change danish name based on latin name;NA
Catalpa hybr. erubescens;NA;NA;Trompetkrone;change danish name based on latin name;NA
Cedrus atlantica;NA;NA;Atlasceder;change danish name based on latin name;NA
Cedrus atlantica;NA;Glauca;Atlasceder;change danish name based on latin name;NA
Cedrus deodara;NA;NA;Himalaya-ceder;change danish name based on latin name;NA
Cedrus libani;NA;NA;Libanonceder;change danish name based on latin name;NA
Cedrus sp.;NA;NA;Ceder;change danish name based on latin name;NA
Celtis australis;NA;NA;Europæisk nældetræ;change danish name based on latin name;NA
Celtis sinesis;NA;NA;Nældetræ;change danish name based on latin name;NA
Cephalotaxus harringtonia;NA;NA;Japansk blommetaks;change danish name based on latin name;NA
Cercidiphyllum japonicum;NA;NA;Hjertetræ;change danish name based on latin name;NA
Cercis canadensis;NA;Forest Pansy;Judastræ;change danish name based on latin name;NA
Cercis siliquastrum;NA;NA;Europæisk judastræ;change danish name based on latin name;NA
Chamaecyparis lawsoniana;NA;NA;Ædelcypres;change danish name based on latin name;NA
Chamaecyparis obtusa;NA;NA;Solcypres;change danish name based on latin name;NA
Chamaecyparis sp.;NA;NA;Dværgcypres;change danish name based on latin name;NA
Cladrastis lutea;NA;NA;Alm kladrastis;change danish name based on latin name;NA
Colutea arborescens;NA;NA;Blærebælg;change danish name based on latin name;NA
Cornus contreversa;NA;NA;Etagekornel;change danish name based on latin name;NA
Cornus kousa;NA;NA;Koreakornel;change danish name based on latin name;NA
Cornus mas;NA;NA;Kirsebærkornel;change danish name based on latin name;NA
Cornus sanguinea;NA;NA;Rød kornel;change danish name based on latin name;NA
Cornus sp.;NA;NA;Kornel;change danish name based on latin name;NA
Corylus americana;NA;NA;Amerikansk hassel;change danish name based on latin name;NA
Corylus avellana;NA;NA;Almindelig hassel;change danish name based on latin name;NA
Corylus avellana;NA;contorta;Troldhassel;change danish name based on latin name;NA
Corylus colurna;NA;NA;Tyrkisk hassel;change danish name based on latin name;NA
Corylus sp.;NA;NA;Hassel;change danish name based on latin name;NA
Cotinus coggygria;NA;NA;Parykbusk;change danish name based on latin name;NA
Cotoneaster sp.;NA;NA;Dværgmispel;change danish name based on latin name;NA
Crataegus crus-galli;NA;NA;Hanesporetjørn;change danish name based on latin name;NA
Crataegus douglasii;NA;NA;Sort tjørn;change danish name based on latin name;NA
Crataegus intricata;NA;NA;Skarlagentjørn;change danish name based on latin name;NA
Crataegus laevigata;NA;Paul;Almindelig hvidtjørn;change danish name based on latin name;NA
Crataegus laevigata;NA;NA;Almindelig hvidtjørn;change danish name based on latin name;NA
Crataegus lavallei;NA;NA;Glansbladet tjørn;change danish name based on latin name;NA
Crataegus monogyna;NA;NA;Engriflet hvidtjørn;change danish name based on latin name;NA
Crataegus monogyna;NA;PKP select;Engriflet hvidtjørn;change danish name based on latin name;NA
Crataegus prunifolia;NA;NA;Blommebladet tjørn;change danish name based on latin name;NA
Crataegus prunifolia;NA;Splendens;Glansbladet tjørn;change danish name based on latin name;NA
Crataegus sp.;NA;NA;Tjørn;change danish name based on latin name;NA
Crataegus submollis;NA;NA;NA;change danish name based on latin name;NA
Cryptomeria japonica;NA;NA;Japansk kryptomeria;change danish name based on latin name;NA
Cunninghamia lanceolata;NA;NA;Kinesisk ligkistetræ;change danish name based on latin name;NA
Cydonia oblonga;NA;NA;Almindelig kvæde;change danish name based on latin name;NA
Cydonia sp.;NA;NA;Kvæde;change danish name based on latin name;NA
Davidia involucrata;NA;NA;Duetræ;change danish name based on latin name;NA
Davidia involucrata;NA;Vilmoriniana;Duetræ;change danish name based on latin name;NA
Elaeagnus angustifolia;NA;NA;Smalbladet sølvblad;change danish name based on latin name;NA
Eucommia ulmoides;NA;NA;Eucommia;change danish name based on latin name;NA
Euonymus alata;NA;NA;Vinget benved;change danish name based on latin name;NA
Euonymus europaeus;NA;NA;Almindelig benved;change danish name based on latin name;NA
Euonymus latifolius;NA;NA;Benved;change danish name based on latin name;NA
Euonymus sachaliensis;NA;NA;Japansk benved;change danish name based on latin name;NA
Euonymus sp.;NA;NA;Benved;change danish name based on latin name;NA
Fagus orientalis;NA;NA;Orientalsk bøg;change danish name based on latin name;NA
Fagus sp.;NA;NA;Bøg;change danish name based on latin name;NA
Fagus sylvatica;NA;NA;Almindelig bøg;change danish name based on latin name;NA
Fagus sylvatica;NA;Atropunicea;Blodbøg;change danish name based on latin name;NA
Fagus sylvatica;NA;Asplenifolia;Bregnebøg;change danish name based on latin name;NA
Fagus sylvatica;NA;Dawyck;Søjlebøg;change danish name based on latin name;NA
Fothergilla major;NA;NA;Stor troldel;change danish name based on latin name;NA
Fraxinus americana;NA;Autumn Purple;Amerikansk ask 'Autumn purple';change danish name based on latin name;NA
Fraxinus americana;NA;Skyline;Amerikansk ask 'Skyline';change danish name based on latin name;NA
Fraxinus angustifolia;NA;Raywood;Smalbladet ask;change danish name based on latin name;NA
Fraxinus excelsior;NA;NA;Almindelig ask;change danish name based on latin name;NA
Fraxinus excelsior;NA;Westhof;Almindelig ask;change danish name based on latin name;NA
Fraxinus excelsior;NA;Robusta;Almindelig ask;change danish name based on latin name;NA
Fraxinus excelsior;NA;Diversifolia;Etbladet ask;change danish name based on latin name;NA
Fraxinus excelsior;NA;Pendula;Hængeask;change danish name based on latin name;NA
Fraxinus ornus;NA;NA;Manna-ask;change danish name based on latin name;NA
Fraxinus pennsylvanica;NA;Zundert;Rød-ask;change danish name based on latin name;NA
Fraxinus pennsylvanica;NA;NA;Rød-ask;change danish name based on latin name;NA
Fraxinus sp.;NA;NA;Ask;change danish name based on latin name;NA
Ginkgo biloba;NA;NA;Tempeltræ;change danish name based on latin name;NA
Ginkgo biloba;NA;NA;Tempeltræ;change danish name based on latin name;NA
Ginkgo biloba;NA;Fastigiata;Tempeltræ 'Fastigata';change danish name based on latin name;NA
Ginkgo biloba;NA;Saratoga;Tempeltræ 'Saratoga';change danish name based on latin name;NA
Gleditsia sp.;NA;NA;Tretorn;change danish name based on latin name;NA
