species;species_common_name
Magnolia kobus;Japansk magnolie
Malus baccata;Paradisæble
Malus domestica;Almindelig æble
Malus hybr.;Paradisæble
Malus hybr. floribunda;Japansk paradisæble
Malus hybr. robusta;Paradisæble
Malus ioensis;NA
Malus sargentii;Sargents æble
Malus sieboldii;Japansk prydæble
Malus sylvestris;Skovæble
Malus toringo;Japansk prydæble
Malus trilobata;NA
Malus tschonoskii;Fujiyama-æble
Mespilus germanica;Mispel
Metasequoia glyptostroboides;Vandgran
Morus alba;Hvid morbær
Morus nigra;Sort morbær
Nothofagus antarctica;Antarktisk sydbøg
Nyssa sylvatica;Tupelotræ
Osmanthus heterophyllus;Djævletræ
Ostrya carpinifolia;Europæisk humlebøg
Parrotia persica;Papegøjebusk
Paulownia tomentosa;Kejsertræ
Phellodendron amurense;Amur korktræ
Phillyrea vilmoriniana;Stenved
Physocarpus opulifolius;Rødbladet blærespirea
Picea abies;Rødgran
Picea glauca;Hvidgran
Picea omorika;Omorika-gran
Picea orientalis;Orientalsk gran
Picea pungens;Blågran
Pinus bungeana;Bungefyr
Pinus cembra;Cembra-fyr
Pinus mugo;Bjergfyr
Pinus nigra;Sortfyr
Pinus parviflora;Penselfyr
Pinus peuce;Silkefyr
Pinus ponderosa;Gul fyr
Pinus strobus;Weymouthsfyr
Pinus sylvestris;Skovfyr
Pinus tabuliformis;Måttefyr
Pinus wallichiana;Tårefyr
Pistacie chinensis;Kinesisk pistacie
Platanus hybr. acerifolia;Platan
Platanus orientalis;Orientalsk platan
Poncirus trifoliatus;Dværgcitron
Populus acuminata;Lancetbladet poppel
Populus alba;Sølvpoppel
Populus balsamifera;Balsampoppel
Populus hybr. canadensis;Landevejspoppel
Populus hybr. canescens;Gråpoppel
Populus hybr. gileadensis;Ontarisk poppel
Populus koreana;Vårpoppel
Populus lasiocarpa;Rabarberpoppel
Populus nigra;Sortpoppel
Populus simonii;Simon-poppel
Populus tremula;Bævreasp
Populus trichocarpa;Vestamerikansk balsampoppel
Prunus americana;Amerikansk blomme
Prunus avium;Fuglekirsebær
Prunus cerasifera;Blodblomme
Prunus cerasus;Surkirsebær
Prunus domestica;Blomme
Prunus hybr.;Kirsebær
Prunus hybr. amygdalo-persica;Ferskenmandel
Prunus hybr. hilleri;Prydkirsebær
Prunus hybr. yedoensis;Yoshino-kirsebær
Prunus maackii;Mandshurisk kirsebær
Prunus mahaleb;Weichsel
Prunus padus;Almindelig hæg
Prunus persica;Fersken
Prunus sargentii;Sakhalinkirsebær
Prunus serrula;Tibetansk kirsebær
Prunus serrulata;Japansk kirsebær
Prunus spinosa;Slåen
Prunus subhirtella;Japansk kirsebær
Prunus umineko;Prydkirsebær
Pseudotsuga menziesii;Douglasgran
Pterocarya fraxinifolia;Kaukasisk vingevalnød
Pterocarya hybr. rhederiana;NA
Pterocarya rhoifolia;Rhusbladet vingevalnød
Pyrus calleryana;Kinapære
Pyrus caucasica;Prydpære
Pyrus communis;Almindelig pære
Pyrus nivalis;Snepære
Pyrus piperitum;Pære
Quercus cerris;Frynseeg
Quercus coccinea;Skarlagen-eg
Quercus frainetto;Ungarsk eg
Quercus hybr. turneri;Turner-eg
Quercus ilex;Sten-eg
Quercus macranthera;Kaspisk eg
Quercus palustris;Sumpeg
Quercus petraea;Vintereg
Quercus phellos;Pile-eg
Quercus pontica;Armensk eg
Quercus pubescens;Dun-eg
Quercus robur;Stilkeg
Quercus rubra;Rødeg
Rhamnus catharticus;Vrietorn
Rhamnus frangula;Tørst
Rhamnus imeritinus;Kaukasisk vrietorn
Rhododendron williamsianum;Williamsianum rhododendron
Rhus glabra;Hjortetaktræ
Rhus potaninii;Kinesisk sumak
Rhus typhina;Hjortetaktræ
Rhus vernciflua;Lak-giftsumak
Ribes nigrum;Solbær
Ribes rubrum;Ribs
Ribes uva-crispa;Stikkelsbær
Robinia hybr. margaretta;NA
Robinia luxurians;Pragtrobinie
Robinia pseudoacacia;Almindelig robinie
Salix alba;Hvidpil
Salix aurita;Øret pil
Salix caprea;Seljepil
Salix matsudana;Troldpil
Salix pentandra;Femhannet pil
Salix purpurea;Purpurpil
Sambucus nigra;Almindelig hyld
Sequoia sempervirens;Rødtræ
Sequoiadendron giganteum;Mammuttræ
Sorbaria arborea;Tusindtop
Sorbus alnifolia;Ellebladet røn
Sorbus americana;Amerikansk røn
Sorbus aria;Akselrøn
Sorbus aucuparia;Almindelig røn
Sorbus commixta;Japansk røn
Sorbus domestica;Storfrugtet røn
Sorbus hybrida;Finsk røn
Sorbus incana;NA
Sorbus intermedia;Seljerøn
Sorbus latifolia;Bredbladet røn
Sorbus mougeotii;Sølvrøn
Sorbus torminalis;Tarmvridrøn
Staphylea colchica;Kaukasisk blærenød
Styphnolobium japonica;Pagodetræ
Styrax japonica;Japansk storaks
Symphoricapos albus;Hvid snebær
Syringa vulgaris;Almindelig syren
Taxodium distichum;Almindelig sumpcypres
Taxus baccata;Almindelig taks
Tetradium daniellii;Honningtræ
Thuja occidentalis;Almindelig thuja
Thujopsis dolabrata;Hønsebenstræ
Tilia cordata;Småbladet lind
Tilia hybr. euchlora;Krimlind
Tilia hybr. europaea;Parklind
Tilia platyphyllos;Storbladet lind
Tilia tomentosa;Sølvlind
Torreya californica;Californisk nøddetaks
Torreya nucifera;Japansk nøddetaks
Trachycarpus fortunei;Hørpalme
Trochodendron araliodes;Hjultræ
Tsuga canadensis;Skarntydegran
Tsuga diversifolia;Japansk hemlock
Tsuga mertensiana;Bjerg-hemlock
Ulmus hybr.;Hybridelm
Ulmus laevis;Skærmelm
Ulmus minor;Småbladet elm
Viburnum hybr. bodnantense;Kejserbusk
Viburnum opulus;Almindelig kvalkved
Zanthoxylum americanum;Tandpinetræ
Zanthoxylum piperitum;Japansk peber
Zelkova serrata;Japansk zelkova
