order,family,genus,art,art_id,color
Fagales,Betulaceae,Carpinus,Carpinus sp.,86,#68CD5B
Fagales,Betulaceae,Corylus,Corylus americana,87,#68CD5B
Fagales,Betulaceae,Corylus,Corylus avellana,88,#67CC5C
Fagales,Betulaceae,Corylus,Corylus colurna,89,#66CB5D
Fagales,Betulaceae,Corylus,Corylus sp.,90,#65CB5E
Fagales,Betulaceae,Ostrya,Ostrya carpinifolia,91,#64CB5F
Fagales,Betulaceae,Ostrya,Ostrya sp.,92,#63CB5F
Fagales,Fagaceae,Castanea,Castanea sativa,93,#62CB5F
Fagales,Fagaceae,Castanea,Castanea sp.,94,#61CA60
Fagales,Fagaceae,Fagus,Fagus orientalis,95,#5FCA60
Fagales,Fagaceae,Fagus,Fagus sp.,96,#5FC961
Fagales,Fagaceae,Fagus,Fagus sylvatica,97,#5EC962
Fagales,Fagaceae,Quercus,Quercus cerris,98,#5DC863
Fagales,Fagaceae,Quercus,Quercus coccinea,99,#5CC863
Fagales,Fagaceae,Quercus,Quercus frainetto,100,#5BC863
Fagales,Fagaceae,Quercus,Quercus hybr. turneri,101,#5AC864
Fagales,Fagaceae,Quercus,Quercus ilex,102,#59C864
Fagales,Fagaceae,Quercus,Quercus macranthera,103,#59C765
Fagales,Fagaceae,Quercus,Quercus palustris,104,#58C765
Fagales,Fagaceae,Quercus,Quercus petraea,105,#57C666
Fagales,Fagaceae,Quercus,Quercus phellos,106,#56C667
Fagales,Fagaceae,Quercus,Quercus pontica,107,#55C568
Fagales,Fagaceae,Quercus,Quercus pubescens,108,#54C568
Fagales,Fagaceae,Quercus,Quercus robur,109,#53C568
Fagales,Fagaceae,Quercus,Quercus rubra,110,#52C569
Fagales,Fagaceae,Quercus,Quercus sp.,111,#51C569
Fagales,Juglandaceae,Juglans,Juglans nigra,112,#51C46A
Fagales,Juglandaceae,Juglans,Juglans regia,113,#50C46A
Fagales,Juglandaceae,Juglans,Juglans sp.,114,#4FC36B
Fagales,Juglandaceae,Pterocarya,Pterocarya fraxinifolia,115,#4EC36B
Fagales,Juglandaceae,Pterocarya,Pterocarya rhederiana,116,#4DC36C
Fagales,Juglandaceae,Pterocarya,Pterocarya rhoifolia,117,#4CC26C
Fagales,Juglandaceae,Pterocarya,Pterocarya sp.,118,#4BC26C
Fagales,Nothofagaceae,Nothofagus,Nothofagus antarctica,119,#4AC16D
Garryales,Eucommiaceae,Eucommia,Eucommia ulmoides,120,#49C16D
Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,121,#49C16E
